,Accuracy,F1-Score,Precision,Recall
Random Forest,0.975,0.9744182408956189,0.9741744186046511,0.975
Logistic Regression,0.5675,0.5495461644572858,0.5672850813743219,0.5675
SVM,0.795,0.7882746310765776,0.7994147282042852,0.795
